"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_Galan","mean_Female_Galan","mean_other_Galan","sd_Male_Galan","sd_Female_Galan","sd_other_Galan","mean_Fruits_galan","mean_Seeds_galan","mean_Leaves_galan","mean_Flowers_galan","mean_Animal_galan","sd_Fruits_galan","sd_Seeds_galan","sd_Leaves_galan","sd_Flowers_galan","sd_Animals_galan","IVSO_prop","IVSOint","superfamily"
"358","pop","Hoolock_hoolock","Western Hoolock Gibbon","Kalacherra, Bengladesh","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",6.87,6.88,6.88,NA,NA,NA,62,2,27,4,NA,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"359","pop","Hoolock_hoolock","Western Hoolock Gibbon","Lawashara, Bengladesh","Forest",0,1,"closed",1,"Diurnal",NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,"none","MF","MF",1,"groups","one","none","AR",6.87,6.88,6.88,NA,NA,NA,62,2,27,4,NA,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"360","pop","Hoolock_hoolock","Western Hoolock Gibbon","West Garo Hills, India","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,25,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,31,1,"wp","MF","MF",0.806451613,"groups","one","none","AR",6.87,6.88,6.88,NA,NA,NA,62,2,27,4,NA,NA,NA,NA,NA,NA,0.193548387,5,"Hominoidea"
"361","pop","Hoolock_hoolock","Western Hoolock Gibbon","North-Eastern India","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,10,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,12,1,"wp","MF","MF",0.833333333,"groups","one","none","AR",6.87,6.88,6.88,NA,NA,NA,62,2,27,4,NA,NA,NA,NA,NA,NA,0.166666667,2,"Hominoidea"
"363","pop","Hoolock_leuconedys","Eastern Hoolock Gibbon","Nankang Nature Park, China","Forest",0,1,"closed",1,"Diurnal",NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MF","MF",1,"groups","one","none","AR",NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"364","pop","Hoolock_leuconedys","Eastern Hoolock Gibbon","Yunnan, China","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"wp","MF","MF",0.777777778,"groups","one","none","AR",NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222,1,"Hominoidea"
"367","pop","Hylobates_agilis","Agile Gibbon","Gunung Palung Reserve, Indonesia","Forest",0,1,"closed",1,"Diurnal",4,2,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,"none","MF","MF",1,"groups","one","none","AR",5.71,6.3,6,NA,NA,NA,53,NA,24,20,3,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"368","pop","Hylobates_agilis","Agile Gibbon","Padang, Sumatra, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",5.71,6.3,6,NA,NA,NA,53,NA,24,20,3,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"370","pop","Hylobates_albibarbis","Bornean White-Bearded Gibbon","Sabangau, Indonesia","Forest_Wetland",0,1,"closed",2,"Diurnal",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",5.45,6.45,NA,NA,NA,NA,63,NA,25,5,1,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"371","pop","Hylobates_albibarbis","Bornean White-Bearded Gibbon","Kalamitan, Indonesia","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"none","MF","MF",1,"groups","one","none","AR",5.45,6.45,NA,NA,NA,NA,63,NA,25,5,1,NA,NA,NA,NA,NA,0,0,"Hominoidea"
